날짜,자산
2026-02-12,10000000.0
2026-02-13,9902673.382961899
2026-02-19,9983773.382961899
2026-02-20,10077593.3841387
2026-02-23,10207659.4346772
2026-02-24,10184826.921327604
2026-02-25,10128617.782812603
2026-02-26,10484578.081231702
2026-02-27,10532070.278470904
2026-03-03,10027789.588133855
2026-03-04,9941308.220298605
2026-03-05,9941308.220298605
2026-03-06,9993463.577831104
2026-03-09,9788901.967411654
2026-03-10,9788901.967411654
2026-03-11,9639217.587664947
2026-03-12,9639217.587664947
2026-03-13,9736138.022579148
