symbol,date,pre5,ret
A,2026-05-27,2.649187196309999,17.770248695948254
A,2026-02-25,0.42786823313558653,-2.4276583027473375
A,2025-11-24,3.0172928894742546,2.0628005762213464
A,2025-08-27,-1.5069409565998448,6.221468170534306
A,2025-05-28,-1.9217166083175474,0.593194592236479
A,2025-02-26,-0.7544388618901054,-4.665356560530498
A,2024-11-25,5.327759747179206,3.2128041350328207
A,2024-08-21,1.6955220244392555,0.8014297524529201
AAPL,2026-04-30,-1.0982225643397348,2.4651031534751233
AAPL,2026-01-29,3.5493629494960155,5.29168424751143
AAPL,2025-10-30,4.352872552486109,-0.24100724894066117
AAPL,2025-07-31,-2.38151631899588,-2.7266199297194427
AAPL,2025-05-01,3.8611907716721072,-6.404706088208911
AAPL,2025-01-30,6.938310607530451,-4.741821928503742
AAPL,2024-10-31,-0.28599859978603037,-3.515873217896248
ABBV,2026-04-29,-3.6222694528668,4.507057778590373
ABBV,2026-02-04,0.7725717815857847,-0.9882163038695602
ABBV,2025-10-31,-0.021911861214840567,-5.394380846725177
ABBV,2025-07-31,-0.6507524851941837,4.162494914118398
ABBV,2025-04-25,5.061746070492434,7.285020251391927
ABBV,2025-01-31,2.9179061383900695,8.14119509579545
ABBV,2024-10-30,0.36554399108641444,7.442607476773477
ABNB,2026-05-07,-0.2851396492479896,-2.0231639492903852
ABNB,2026-02-12,-4.060667309051769,3.914680205528409
ABNB,2025-11-06,-3.14674513859855,-1.8775535116390296
ABNB,2025-08-06,-5.027762209986541,-6.879047098300006
ABNB,2025-05-01,3.077442870489411,2.4360246598655433
ABNB,2025-02-13,8.425924116255956,14.289781682699498
ABNB,2024-11-07,3.2307719136332347,-2.490958536940868
ABT,2026-07-16,-5.54034347389587,13.879251131354554
ABT,2026-04-16,-1.3160030468142292,-5.474593681465823
ABT,2026-01-22,-2.3800760650536046,-9.906406307039061
ABT,2025-10-15,0.18793156159944147,-3.1202982240846167
ABT,2025-07-17,-0.6670487589006235,-5.556395604374764
ABT,2025-04-16,2.3030992612115275,2.9076097895029296
ABT,2025-01-22,3.721935791094988,7.055393747248595
ABT,2024-10-16,1.7159036545447703,2.8780790625994923
ACGL,2026-07-28,2.0131546553091573,-2.6376568504186904
ACGL,2026-04-28,-1.1693501021935115,-1.9615977369798032
ACGL,2026-02-09,5.112448964919802,-2.3179756400491636
ACGL,2025-10-27,0.7397981433876266,-1.4916844853660516
ACGL,2025-07-29,-1.1993181212536008,-0.5086733426661882
ACGL,2025-04-29,1.559195357616705,-1.6668540758485118
ACGL,2025-02-10,0.46201816545154983,-5.6042757901278435
ACGL,2024-10-30,-2.773911084218561,-8.377865621242165
ACN,2026-06-18,-8.498534615171083,-18.588547741203843
ACN,2026-03-19,-3.1417585725940556,2.495521751555141
ACN,2025-12-18,0.5583750304919866,-1.1214947741479353
ACN,2025-09-25,-0.8953761664420967,3.312696277409133
ACN,2025-06-20,-4.022307901323019,-1.8473700847769114
ACN,2025-03-20,0.04315176453277836,-5.3286845057652465
ACN,2024-12-19,-4.460752864486805,3.210496530756335
ACN,2024-09-26,0.25879238836370444,4.874652793626133
ADBE,2026-06-11,-8.921318382291988,-11.577686051565783
ADBE,2026-03-12,0.21602092429646724,-7.9828985155306675
ADBE,2025-12-10,6.663365424957357,3.5170728084236824
ADBE,2025-09-11,0.47632816703282455,-0.8738855170753679
ADBE,2025-06-12,-0.25851207140483723,-2.6911116776751176
ADBE,2025-03-12,-2.7733549651462797,-8.974775884118491
ADBE,2024-12-11,5.964044753596531,-14.872495597669811
ADBE,2024-09-12,0.8917870287375118,-10.145078119068085
ADI,2026-05-20,-1.2724880132960692,-4.1611342027952585
ADI,2026-02-18,4.50197448434726,5.190956417848991
ADI,2025-11-25,4.114117185802857,10.83541517521347
ADI,2025-08-20,-0.6895252434067412,9.442799073283425
ADI,2025-05-22,-2.028045480542162,-2.398518542544714
ADI,2025-02-19,7.497796956246883,8.486972563638794
ADI,2024-11-26,6.644415310389906,-2.4733867548694333
ADI,2024-08-21,2.513663654477072,2.1924724769108783
ADM,2026-05-05,8.123048027279367,1.6520258711224756
ADM,2026-02-03,1.053870529859391,-3.892475816651164
ADM,2025-11-04,-2.9867510116599605,-5.60825295409213
ADM,2025-08-05,-0.7304499337052017,6.43855717716153
ADM,2025-05-06,-1.144648790071412,0.4210699862622791
ADM,2025-02-04,-4.121141094216396,-8.936429049530116
