날짜,종목코드,종목명,전략,구분,가격,수량,금액,수수료,사유,손익,손익률,보유일
2026-06-05,105560,KB금융,sepa,BUY,171500.0,14,2401000.0,337.0,진입 (점수 62),0.0,0.0,0
2026-06-08,055550,신한지주,sepa,BUY,104700.0,23,2408100.0,338.0,진입 (점수 74),0.0,0.0,0
2026-06-08,105560,KB금융,sepa,SELL,157780.0,14,2208920.0,4706.0,손절 -8.0%,-197124.0,-8.21,2
2026-06-10,005380,현대차,rsi2,BUY,637000.0,3,1911000.0,269.0,진입 (점수 68),0.0,0.0,0
2026-06-10,012330,현대모비스,rsi2,BUY,586000.0,4,2344000.0,329.0,진입 (점수 68),0.0,0.0,0
2026-06-10,403870,HPSP,sepa,BUY,55900.0,42,2347800.0,330.0,진입 (점수 60),0.0,0.0,0
2026-06-10,055550,신한지주,sepa,SELL,96324.0,23,2215452.0,4720.0,손절 -8.0%,-197706.0,-8.21,3
2026-06-10,005380,현대차,rsi2,SELL,586040.0,3,1758120.0,3746.0,손절 -8.0%,-156894.0,-8.21,1
2026-06-10,012330,현대모비스,rsi2,SELL,570000.0,1,570000.0,1214.0,1차 익절 +5.0%,-17297.0,-2.95,1
2026-06-10,012330,현대모비스,rsi2,SELL,570000.0,3,1710000.0,3643.0,"트레일링 (고점 620,000 대비 -4.5%)",-51890.0,-2.95,1
2026-06-10,403870,HPSP,sepa,SELL,53100.0,8,424800.0,905.0,1차 익절 +5.0%,-23368.0,-5.22,1
2026-06-10,403870,HPSP,sepa,SELL,53100.0,34,1805400.0,3846.0,"트레일링 (고점 59,600 대비 -4.5%)",-99314.0,-5.22,1
2026-06-12,005380,현대차,rsi2,BUY,635000.0,3,1905000.0,268.0,진입 (점수 68),0.0,0.0,0
2026-06-12,003550,LG,rsi2,BUY,111500.0,20,2230000.0,313.0,진입 (점수 68),0.0,0.0,0
2026-06-12,403870,HPSP,sepa,BUY,57300.0,39,2234700.0,314.0,진입 (점수 66),0.0,0.0,0
2026-06-12,403870,HPSP,sepa,SELL,71500.0,7,500500.0,1066.0,1차 익절 +5.0%,98277.0,24.5,1
2026-06-15,039030,이오테크닉스,sepa,BUY,598000.0,4,2392000.0,336.0,진입 (점수 69),0.0,0.0,0
2026-06-15,357780,솔브레인,sepa,BUY,450000.0,1,450000.0,63.0,진입 (점수 63),0.0,0.0,0
2026-06-15,003550,LG,rsi2,SELL,118400.0,4,473600.0,1009.0,1차 익절 +5.0%,26528.0,5.95,2
2026-06-15,403870,HPSP,sepa,SELL,83500.0,12,1002000.0,2135.0,2차 익절 +15.0%,312169.0,45.39,2
2026-06-15,403870,HPSP,sepa,SELL,83500.0,20,1670000.0,3558.0,"트레일링 (고점 92,000 대비 -4.5%)",520281.0,45.39,2
2026-06-15,039030,이오테크닉스,sepa,SELL,550160.0,4,2200640.0,4689.0,손절 -8.0%,-196385.0,-8.21,1
2026-06-16,357780,솔브레인,sepa,SELL,414000.0,1,414000.0,882.0,손절 -8.0%,-36945.0,-8.21,2
2026-06-17,003550,LG,rsi2,SELL,112500.0,16,1800000.0,3835.0,"트레일링 (고점 118,400 대비 -4.5%)",11914.0,0.67,4
2026-06-19,005930,삼성전자,sepa,BUY,372500.0,6,2235000.0,314.0,진입 (점수 62),0.0,0.0,0
2026-06-19,032830,삼성생명,sepa,BUY,481500.0,5,2407500.0,338.0,진입 (점수 62),0.0,0.0,0
2026-06-19,034730,SK,sepa,BUY,718000.0,3,2154000.0,303.0,진입 (점수 61),0.0,0.0,0
